IPAddress,Q_RecaptchaScore,Informed Consent ,Gender,Gender_4_TEXT,Age,Ethnicity,Hispanic or Latino,Education,Employment,Income,Residency-State,Residency-Community,Residency-Community_4_TEXT,Current Status,Current Status_4_TEXT,Social Media,Social Media_10_TEXT,Political Ideology _1,Party Affiliation _1,Voting,Criminal Record,Criminal Record_3_TEXT,Q127_First Click,Q127_Last Click,Q127_Page Submit,Q127_Click Count,G1-Pew-ABRTLGL,G1-Pew-ABRTN_MED,G1-Pew-ABORTION3,G1-Pew-ABORTION4,G2-ImmigrationPop,G2-ImmigrationPolicy,G2-ImmPolicyImpact,Q128_First Click,Q128_Last Click,Q128_Page Submit,Q128_Click Count,G2-DV1,G2-DV2,G2-DV3-6_1,G2-DV3-6_2,G2-DV3-6_3,G2-DV3-6_4,Q129_First Click,Q129_Last Click,Q129_Page Submit,Q129_Click Count,G3-Express,G3-Backlash,Q130_First Click,Q130_Last Click,Q130_Page Submit,Q130_Click Count,G4-Fair,G4-Trust,G4-Decision,G5-PreT-USCourtTrust,G5-PreT-IOTrust,G5-PreT-IOparticipat,G5-PreT-InterCase,G5-PreT-ICCfimiliar,Q131_First Click,Q131_Last Click,Q131_Page Submit,Q131_Click Count,G5-PostT-Relaible,G5-PostT-Fair,G5-PostT-Effective,G5-PostT-Political,Manipulation Check,Manipulation Check_DO,rid,zip,Create New Field or Choose From Dropdown...,Group1-Abortion_DO,Group2-Immigration-PostT_DO,Group3-Speech_DO,Group4-SCOTUS_DO,Group5-ICC-PostT_DO
208.73.42.123,0.8999999761581421,Yes,Male,,1977,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,"$25,000-$49,999",Alabama,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Very Liberal,Strong Republican,Republican candidate,No,,2.533,9.845,31.523,4,Legal in most cases,Legal,Somewhat difficult,Harder than it is now,A large population,Somewhat adequate,Somewhat,2.093,8.365,44.013,6,Increased,Somewhat safer,Agree,Strongly agree,Agree,Strongly agree,20.854,21.67,46.7,2,9,10 -Very Likely,2.265,7.44,32.669,4,9,10-Completely trust,Yes,A great deal,A great deal,Extremely important,"Yes, even without direct U.S. interest",Very familiar,6.195,14.259,32.449,4,Very reliable,Somewhat fair,Very effective,Somewhat biased,Expressing opinions on a political issue,Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance|A case decided by the U.S. Supreme Court,68110f2a-9bf2-b6ee-4df1-10eed22017c3,36067,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
192.6.255.122,0.699999988,Yes,A gender not listed here (please specify),Male,1989,White,Not Hispanic or Latino,"Some college, but no degree",Working full-time,"$150,000 or more",Minnesota,"Others, please specify",Urban,Others (please specify),L Was a naturalized Citizen,Others(Please specify),None,Somewhat Liberal,Lean Democrat,Prefer not to disclose.,Others (please specify),No,0.868,69.196,69.859,16,Illegal in all cases,Not sure,Somewhat easy,About what it is now,Not at all,Somewhat adequate,Somewhat,0.854,75.786,76.212,19,About the same,Somewhat safer,Disagree,Disagree,Disagree,Disagree,1.053,33.769,34.889,9,10 -Very Likely,1-Not Very Likely,0.787,52.074,52.598,11,1-Least Fair,1-Not trust at all,No,A moderate amount,A great deal,Very important,Unsure,Never heard of it,0.947,48.512,49.099,13,Very reliable,Neutral,Neutral,Neutral,A case decided by the U.S. Supreme Court,Immigration policy and law enforcement|AI application in campaign finance|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court,68110e05-ab4e-4109-7724-139344b5ecd2,55369,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
68.51.103.254,0.20000000298023224,Yes,Female,,1967,White,Not Hispanic or Latino,Some high school or less,Other,"Less than $25,000",Indiana,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Very Concservative,Independent,Neither - did not vote/voted for an independent candidate,No,,12.528,80.2,80.966,10,I don't know/I'm not sure.,Not sure,Somewhat difficult,About what it is now,A small population,Neither adequate nor inadequate,Not at all,12.352,64.095,64.552,12,About the same,About the same,Disagree,Neither agree nor disagree,Disagree,Disagree,10.158,32.416,33.369,12,5,5,10.126,57.653,58.951,10,10-Most Fair,5,No,A moderate amount,Some,Somewhat important,Unsure,Never heard of it,8.346,33.014,33.901,17,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance|A case decided by the U.S. Supreme Court,68110fb3-8c49-8a72-12bb-f355a9b24a73,46001,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
156.47.35.123,1,Yes,Female,,1958,White,Not Hispanic or Latino,High school diploma or GED,Retired,"$25,000-$49,999",Illinois,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Very Concservative,Strong Republican,Republican candidate,No,,7.6,73.995,74.782,12,Illegal in all cases,Illegal,Somewhat easy,Harder than it is now,Not at all,Neither adequate nor inadequate,Not at all,4.178,75.15,76.165,15,Decreased,Much more safer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,11.058,29.783,31.587,13,9,10 -Very Likely,11.995,55.955,61.378,10,10-Most Fair,3,Yes,Not too much,None at all,Not important at all,Only if it serves U.S. interests,"Heard of it, but don’t know much",11.415,46.11,47.8,9,Very unreliable,Neutral,Very ineffective,Extremely biased,AI application in campaign finance,A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance,68110fe5-d48c-e51c-edf4-19bdcfd518cd,62565,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
35.139.78.174,0.6000000238418579,Yes,Female,,1949,White,Not Hispanic or Latino,Associates or technical degree,Retired,"Less than $25,000",Florida,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Moderate,Independent,Democratic candidate,No,,5.172,77.507,78.578,11,Legal in most cases,Illegal,Somewhat easy,Harder than it is now,A small population,Somewhat adequate,Not at all,2.598,60.061,61.692,13,About the same,About the same,Strongly disagree,Strongly disagree,Disagree,Disagree,3.687,37.6,39.245,18,5,1-Not Very Likely,5.65,59.177,59.901,12,4,4,No,A moderate amount,Very little,Very important,Only if it serves U.S. interests,Never heard of it,2.952,47.515,48.766,15,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|AI application in campaign finance|Immigration policy and law enforcement,68110faf-e7c7-4a15-e3b6-7f329e3cf671,32168,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
99.39.100.56,1,Yes,Female,,1961,White,Not Hispanic or Latino,"Some college, but no degree",Working full-time,"$25,000-$49,999",Georgia,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Independent,Neither - did not vote/voted for an independent candidate,No,,4.716,29.419,31.33,8,Legal in most cases,Legal,Somewhat difficult,Easier than it is now,A moderate population,Neither adequate nor inadequate,Not at all,8.38,31.628,32.603,8,About the same,About the same,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,8.061,31.244,31.851,11,8,8,39.187,50.98,52.026,5,8,1-Not trust at all,Yes,Not at all,Very little,Somewhat important,Unsure,"Heard of it, but don’t know much",8.382,18.686,32.575,8,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,AI application in campaign finance|A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|Expressing opinions on a political issue,681110b8-b22e-6088-1a17-85706ffb177c,30102,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
69.245.0.232,0.8999999761581421,Yes,Female,,1945,White,Not Hispanic or Latino,High school diploma or GED,Retired,"Less than $25,000",Tennessee,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Somewhat Conservative,Republican,Republican candidate,No,,45.772,76.044,77.296,4,Illegal in most cases,Not sure,Somewhat difficult,Harder than it is now,A very large population,Somewhat inadequate,Not at all,44.678,83.597,84.682,7,Decreased,Much more safer,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,11.787,35.739,36.935,5,6,10 -Very Likely,64.991,91.159,92.403,3,5,7,Yes,Not too much,Very little,Not very important,"No, the U.S. should stay out","Heard of it, but don’t know much",18.66,34.412,36.599,6,Somewhat unreliable,Neutral,Neutral,Neutral,AI application in campaign finance,A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|AI application in campaign finance|Immigration policy and law enforcement,68110fea-6b5d-93ee-5e5b-f701b6c737f1,37072,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
76.112.79.216,1,Yes,Female,,1949,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$25,000-$49,999",Michigan,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Strong Democrat,Democratic candidate,No,,24.54,49.923,50.582,4,Legal in most cases,Legal,Somewhat easy,About what it is now,A small population,Neither adequate nor inadequate,Not at all,17.633,28.866,32.284,6,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,12.642,29.507,32.077,14,1-Not Very Likely,1-Not Very Likely,14.844,24.332,30.847,4,1-Least Fair,1-Not trust at all,Yes,Not too much,None at all,Not important at all,Unsure,Never heard of it,26.218,39.522,40.398,4,Very unreliable,Somewhat unfair,Very ineffective,Extremely biased,AI application in campaign finance,AI application in campaign finance|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement,681110d4-f385-f276-a25a-53d4c9427891,48141,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
98.97.118.171,1,Yes,Female,,1946,White,Not Hispanic or Latino,Associates or technical degree,Retired,"$75,000-$99,999",Florida,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Moderate,Independent,Neither - did not vote/voted for an independent candidate,No,,1.424,96.144,101.501,10,Legal in most cases,Legal,Very difficult,Easier than it is now,A moderate population,Neither adequate nor inadequate,Somewhat,45.016,87.635,91.775,8,About the same,About the same,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.609,40.711,42.633,3,5,8,74.459,109.457,110.999,6,10-Most Fair,5,Yes,Not too much,Some,Extremely important,"Yes, even without direct U.S. interest","Heard of it, but don’t know much",43.061,75.896,77.422,9,Neutral,Somewhat fair,Somewhat ineffective,Neutral,AI application in campaign finance,A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|Expressing opinions on a political issue|AI application in campaign finance,68110e85-ed44-7432-d06e-4ac174cbc56f,34120,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
75.117.28.222,1,Yes,Female,,1946,White,Not Hispanic or Latino,"Some college, but no degree",Retired,"$100,000-$149,999",Pennsylvania,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Very Concservative,Strong Republican,Republican candidate,No,,32.331,83.137,83.654,9,I don't know/I'm not sure.,Not sure,Somewhat easy,Harder than it is now,A small population,Neither adequate nor inadequate,lightly impacted,21.42,147.58,150.546,18,Increased,Somewhat more dangerous,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,9.588,30.807,30.825,8,1-Not Very Likely,2,4.836,58.92,59.353,8,8,8,Yes,Not too much,Some,Somewhat important,Unsure,"Heard of it, but don’t know much",28.391,36.762,37.245,7,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance,68110fa2-6dde-aaff-9397-3f54580758e2,15668,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
69.245.0.232,0.699999988,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68110fea-6b5d-93ee-5e5b-f701b6c737f1,37072,,,,,,
108.39.241.221,0.699999988,Yes,Male,,1957,White,Not Hispanic or Latino,Bachelor’s degree,Retired,"$75,000-$99,999",Pennsylvania,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Moderate,Independent,Neither - did not vote/voted for an independent candidate,No,,22.689,170.396,171.448,12,Legal in most cases,Not sure,Somewhat difficult,About what it is now,A moderate population,Neither adequate nor inadequate,Not at all,5.416,180.793,181.907,15,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,13.914,31.283,32.071,5,7,7,2.502,59.332,60.184,9,9,8,No,A moderate amount,Very little,Somewhat important,"No, the U.S. should stay out","Heard of it, but don’t know much",11.854,36.89,37.636,12,Very unreliable,Very unreliableVery unfair,Very ineffective,Extremely biased,AI application in campaign finance,A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|AI application in campaign finance|Expressing opinions on a political issue,68110f0a-0619-88ee-e3bd-2e30c13b7b00,15235,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
74.139.169.9,1,Yes,Male,,1951,White,Not Hispanic or Latino,Bachelor’s degree,Retired,"$100,000-$149,999",Kentucky,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Youtube,,Somewhat Liberal,Democrat,Democratic candidate,No,,3.451,34.265,36.158,5,Legal  in all cases,Legal,Somewhat difficult,Easier than it is now,A small population,Somewhat adequate,Not at all,44.406,72.639,73.627,6,About the same,About the same,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,15.112,20.064,32.601,2,8,1-Not Very Likely,56.21,71.172,72.221,3,10-Most Fair,2,Yes,A moderate amount,Very little,Extremely important,Only if it serves U.S. interests,"Heard of it, but don’t know much",32.596,48.444,50.309,4,Somewhat reliable,Somewhat fair,Somewhat ineffective,Neutral,AI application in campaign finance,A case decided by the U.S. Supreme Court|Immigration policy and law enforcement|Expressing opinions on a political issue|AI application in campaign finance,681110aa-2a72-57ea-5fc0-d81e5e78b583,40245,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-8L1C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
100.14.234.8,1,Yes,Male,,1940,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$150,000 or more",Delaware,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Somewhat Liberal,Democrat,Democratic candidate,No,,4.028,69.516,70.88,10,Legal  in all cases,Legal,Somewhat easy,About what it is now,A moderate population,Very adequate,Not at all,24.721,57.153,58.46,10,About the same,About the same,Disagree,Disagree,Strongly disagree,Strongly disagree,3.314,29.675,32.39,7,3,2,30.058,56.61,57.735,6,10-Most Fair,2,No,A moderate amount,Some,Extremely important,"No, the U.S. should stay out","Heard of it, but don’t know much",15.167,44.111,45.562,13,Neutral,Neutral,Somewhat ineffective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|Expressing opinions on a political issue|A case decided by the U.S. Supreme Court|AI application in campaign finance,6811109a-9f24-f182-49fb-f0f0277745aa,19810,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Online|G3-Express|G3-Backlash|Q129,G4-3L6C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
174.105.104.158,0.800000012,Yes,Female,,1952,White,Not Hispanic or Latino,High school diploma or GED,Retired,"Less than $25,000",Ohio,Rural,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Moderate,Independent,Democratic candidate,No,,35.368,79.961,81.003,10,Legal in most cases,Legal,Somewhat easy,About what it is now,Not at all,Neither adequate nor inadequate,Not at all,17.129,50.171,52.026,10,About the same,About the same,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,9.637,37.814,39.059,5,1-Not Very Likely,1-Not Very Likely,35.595,52.746,54.259,5,10-Most Fair,10-Completely trust,No,A moderate amount,A great deal,Extremely important,Only if it serves U.S. interests,Never heard of it,10.943,31.474,32.861,8,Neutral,Neutral,Neutral,Neutral,AI application in campaign finance,Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance|A case decided by the U.S. Supreme Court,6811108d-1c6c-51f8-488c-dcdb4bbcb4f1,44827,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-StudentOrg|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T1|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
50.80.88.130,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6811129a-70c8-8541-8e40-34ef1d6164b9,36426,,,,,,
47.160.241.11,0.8999999761581421,Yes,Female,,1956,White,Not Hispanic or Latino,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,"$25,000-$49,999",Texas,Urban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,None,,Moderate,Independent,Democratic candidate,No,,28.223,41.445,43.307,4,Legal  in all cases,Legal,Very difficult,Easier than it is now,A moderate population,Somewhat adequate,Significantly impacted,13.74,30.298,34,7,About the same,Somewhat more dangerous,Strongly disagree,Strongly disagree,Disagree,Agree,7.984,26.142,45.997,5,6,10 -Very Likely,12.092,27.42,36.246,8,10-Most Fair,5,Yes,Not at all,Some,Somewhat important,Only if it serves U.S. interests,"Heard of it, but don’t know much",9.893,25.147,32.421,5,Neutral,Neutral,Somewhat ineffective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|AI application in campaign finance,68110ede-2270-cbd0-7fa7-fbcf7bab51aa,76903,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Friends|G3-Express|G3-Backlash|Q129,G4-4L4C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T3|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
207.135.201.12,0.8999999761581421,Yes,Female,,1996,Black or African American,Not Hispanic or Latino,Associates or technical degree,Working part-time,"$75,000-$99,999",Nevada,Urban,,Yes - I was a naturalized citizen.,,Youtube,,Somewhat Liberal,Republican,Republican candidate,No,,9.504,59.001,61.281,5,Legal in most cases,Legal,Somewhat difficult,Easier than it is now,A moderate population,Not at all adequate,Extremely impacted,12.718,58.759,60.475,6,Increased,About the same,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,13.684,43.683,44.999,3,6,4,38.019,59.14,61.221,5,8,9,No,A moderate amount,Some,Very important,"Yes, even without direct U.S. interest",Somewhat familiar,9.526,34.655,36.678,7,Somewhat reliable,Somewhat fair,Somewhat ineffective,Somewhat unbiased,AI application in campaign finance,A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|Immigration policy and law enforcement|AI application in campaign finance,68111039-8238-813e-0c3c-3a49317a5209,89511,,G1-ForcedTravel|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
24.100.143.210,0.699999988,Yes,Female,,1988,White,Not Hispanic or Latino,"Some college, but no degree",Unemployed and looking for work,"Less than $25,000",Illinois,Rural,,No - I am here on visa.,,TikTok,,Prefer not to answer,Republican,Republican candidate,No,,1.102,56.871,57.742,17,Legal in most cases,Legal,Somewhat difficult,Easier than it is now,A small population,Somewhat inadequate,lightly impacted,52.674,59.342,60.124,12,Increased,About the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1.412,52.54,52.904,15,2,5,92.442,96.205,96.205,9,4,7,No,A moderate amount,Some,Somewhat important,"Yes, even without direct U.S. interest",Somewhat familiar,0.954,5.052,45.979,10,Somewhat unreliable,Somewhat unfair,Somewhat effective,Somewhat biased,Expressing opinions on a political issue,AI application in campaign finance|Expressing opinions on a political issue|Immigration policy and law enforcement|A case decided by the U.S. Supreme Court,68110de0-d6c9-66d6-4cc1-706005c37c43,62568,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-No-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-InClass|G3-Express|G3-Backlash|Q129,G4-6L3C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-NormativePolicyPr|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
173.67.29.32,0.8999999761581421,Yes,Female,,1944,White,Not Hispanic or Latino,Bachelor’s degree,Working part-time,"$50,000-$74,999",Maryland,Suburban,,"Yes - I born in the USA, or my parent(s) is a U.S. citizen.",,Facebook,,Very Liberal,Strong Democrat,Democratic candidate,No,,36.375,57.81,59.333,4,Legal  in all cases,Legal,Somewhat easy,About what it is now,A moderate population,Somewhat adequate,Somewhat,21.453,57.071,57.985,7,About the same,Somewhat safer,Strongly disagree,Strongly disagree,Strongly disagree,Agree,11.62,17.099,32.188,2,10 -Very Likely,1-Not Very Likely,34.986,44.379,45.395,3,10-Most Fair,1-Not trust at all,No,A moderate amount,A great deal,Extremely important,Only if it serves U.S. interests,"Heard of it, but don’t know much",22.818,35.633,37.345,4,Somewhat reliable,Very fair,Somewhat ineffective,Neutral,AI application in campaign finance,Immigration policy and law enforcement|A case decided by the U.S. Supreme Court|Expressing opinions on a political issue|AI application in campaign finance,6811116d-6ecd-ba98-d579-bfca80195a8e,21208,,G1-Delay|G1-Pew-ABRTLGL|G1-Pew-ABRTN_MED|G1-Pew-ABORTION3|G1-Pew-ABORTION4|Q127,G2-Full-Sanctuary|G2-DV1|G2-DV2|G2-DV3-6|Q128,G3-Family|G3-Express|G3-Backlash|Q129,G4-1L8C|G4-Fair|G4-Trust|G4-Decision|Q130,G5-T2|G5-PostT-Relaible|G5-PostT-Fair|G5-PostT-Effective|G5-PostT-Political|Q131
